Date,Close,High,Low,Open,Volume
2/25/2020,1646.900024,1653.699951,1632.300049,1645.099976,409
2/26/2020,1640,1648.099976,1636.400024,1644,1990
2/27/2020,1640,1658,1638.5,1641.099976,707
2/28/2020,1564.099976,1642.5,1564.099976,1640.300049,289
3/2/2020,1592.300049,1608.300049,1574.300049,1583.900024,537
3/3/2020,1642.099976,1645.300049,1594,1594.5,610
3/4/2020,1641.099976,1645.900024,1631.300049,1645.400024,83
3/5/2020,1666.400024,1672.900024,1637.199951,1637.300049,154
3/6/2020,1670.800049,1686.199951,1647.199951,1670.800049,175
3/9/2020,1674.5,1701.599976,1657.699951,1696.099976,161
3/10/2020,1659.099976,1674.599976,1643,1671.599976,48
3/11/2020,1641.400024,1666.5,1635,1656.599976,47
3/12/2020,1589.300049,1647.5,1566.400024,1637,256
3/13/2020,1515.699951,1589.800049,1513.800049,1574.900024,89
3/16/2020,1485.900024,1569.099976,1452.099976,1569.099976,193
3/17/2020,1524.900024,1537.699951,1469.300049,1469.300049,122
3/18/2020,1477.300049,1542,1477.300049,1537.5,333
3/19/2020,1478.599976,1491.599976,1471,1481.5,262
3/20/2020,1484,1484,1483.5,1483.5,14
3/23/2020,1567,1567,1490.199951,1505.300049,51
3/24/2020,1660.199951,1685.5,1592.699951,1592.699951,442
3/25/2020,1632.300049,1676.5,1631.099976,1676.5,476
3/26/2020,1650.099976,1660.5,1650.099976,1660.5,3
3/27/2020,1623.900024,1623.900024,1623.900024,1623.900024,100638
3/30/2020,1622,1652.800049,1607.199951,1641.199951,16389
3/31/2020,1583.400024,1621,1576,1618.699951,2874
4/1/2020,1578.199951,1600,1570,1570,2158
4/2/2020,1625.699951,1631.199951,1586,1590.900024,1294
4/3/2020,1633.699951,1636,1619.800049,1624.5,643
4/6/2020,1677,1696.699951,1625.900024,1629.099976,1063
4/7/2020,1664.800049,1724.400024,1658,1695.699951,1144
4/8/2020,1665.400024,1677,1662.5,1669.699951,747
4/9/2020,1736.199951,1736.199951,1662.699951,1662.699951,825
4/13/2020,1744.800049,1756.800049,1710.699951,1722,696
4/14/2020,1756.699951,1775,1739.5,1756.800049,675
4/15/2020,1727.199951,1744.900024,1722.699951,1739.400024,642
4/16/2020,1720.400024,1750.599976,1715,1731,162
4/17/2020,1689.199951,1725,1684.900024,1715.699951,223
4/20/2020,1701.599976,1701.599976,1680,1686,106
4/21/2020,1678.199951,1707.099976,1659.900024,1697,666
4/22/2020,1728.699951,1728.699951,1684.800049,1696,453
4/23/2020,1733.300049,1745.099976,1733.300049,1734,482
4/24/2020,1723.5,1744,1714.5,1744,221
4/27/2020,1711.900024,1731.900024,1711.900024,1731.900024,169
4/28/2020,1710.5,1716.599976,1707.099976,1716.599976,1255
4/29/2020,1703.400024,1713.5,1702,1710,373
4/30/2020,1684.199951,1719.300049,1680.800049,1719.300049,327
5/1/2020,1694.5,1701.5,1670.5,1686.599976,337
5/4/2020,1706.900024,1709,1699.599976,1702.599976,320
5/5/2020,1704.400024,1704.400024,1697.199951,1701.5,82
5/6/2020,1684.199951,1704,1684.199951,1704,469
5/7/2020,1721.800049,1721.800049,1685.599976,1686.199951,853
5/8/2020,1709.900024,1728.900024,1703.800049,1726.199951,330
5/11/2020,1695.300049,1704.5,1690.199951,1702.300049,749
5/12/2020,1704.400024,1713.099976,1699.300049,1699.300049,324
5/13/2020,1713.900024,1721.300049,1701.900024,1702,431
5/14/2020,1738.099976,1743.099976,1720.5,1724.300049,672
5/15/2020,1753.400024,1753.400024,1739.699951,1739.699951,719
5/18/2020,1731.800049,1770.5,1731.800049,1755.699951,229
5/19/2020,1744.199951,1749.5,1744.199951,1744.199951,167
5/20/2020,1750.599976,1752.099976,1745.599976,1751.599976,16
5/21/2020,1720.5,1746.800049,1720.5,1746.800049,528
5/22/2020,1734.599976,1734.599976,1726.599976,1726.599976,6
5/26/2020,1704.800049,1726.400024,1704.800049,1726.400024,39
5/27/2020,1710.300049,1710.300049,1685.599976,1685.599976,137416
5/28/2020,1713.300049,1727.800049,1705,1709.300049,23355
5/29/2020,1736.900024,1738.300049,1715.099976,1718.800049,1526
6/1/2020,1737.800049,1747,1727.099976,1740.400024,871
6/2/2020,1725.199951,1745.5,1721.800049,1743,741
6/3/2020,1697.800049,1726.300049,1684.5,1726.300049,2755
6/4/2020,1718.900024,1718.900024,1694.5,1694.5,807
6/5/2020,1676.199951,1711.800049,1668.599976,1711.800049,1502
6/8/2020,1698.300049,1699.400024,1675.900024,1679.099976,587
6/9/2020,1714.699951,1720.900024,1692,1694.599976,690
6/10/2020,1713.300049,1740.800049,1711.900024,1716.099976,718
6/11/2020,1732,1744.099976,1720,1737.199951,347
6/12/2020,1729.300049,1743,1724.900024,1724.900024,318
6/15/2020,1720.300049,1730,1703.300049,1730,188
6/16/2020,1729.599976,1729.599976,1722.400024,1726.300049,22
6/17/2020,1729.199951,1729.199951,1714.699951,1714.699951,51
6/18/2020,1724.800049,1734.099976,1717.300049,1730.5,110
6/19/2020,1745.900024,1750.699951,1723.5,1723.699951,1329
6/22/2020,1756.699951,1767.599976,1750.5,1755.199951,1356
6/23/2020,1772.099976,1776.300049,1754.199951,1755.400024,666
6/24/2020,1765.800049,1783.099976,1764.5,1778.300049,961
6/25/2020,1762.099976,1764.800049,1759.800049,1761.699951,207
6/26/2020,1772.5,1772.5,1764.699951,1766,640
6/29/2020,1774.800049,1780.199951,1774.300049,1779.800049,584
6/30/2020,1793,1793.199951,1774.400024,1777.300049,986
7/1/2020,1773.199951,1798,1765.800049,1793.599976,331
7/2/2020,1784,1784,1768.699951,1773.400024,215
7/6/2020,1788.5,1790.099976,1788.199951,1788.199951,172
7/7/2020,1804.199951,1804.199951,1783.300049,1789.300049,751
7/8/2020,1815.5,1817.900024,1801.5,1801.5,209
7/9/2020,1799.199951,1819.800049,1799.199951,1816.099976,396
7/10/2020,1798.199951,1805.5,1797.699951,1805.5,236
7/13/2020,1811,1811,1805,1805,164
7/14/2020,1810.599976,1811.5,1791,1791,339
7/15/2020,1811.400024,1813.5,1806.099976,1806.099976,167
7/16/2020,1798.699951,1810.900024,1794.300049,1810.900024,146
7/17/2020,1808.300049,1810.099976,1798.5,1798.5,24
7/20/2020,1815.900024,1817.300049,1807,1807,89
7/21/2020,1842.400024,1842.400024,1822,1822,117
7/22/2020,1864.099976,1867,1854.699951,1858.099976,213
7/23/2020,1889.099976,1890.300049,1868.5,1868.699951,133
7/24/2020,1897.300049,1897.300049,1884.300049,1884.300049,474
7/27/2020,1931,1938,1901.5,1901.699951,364
7/28/2020,1944.699951,1944.699951,1928.599976,1931.5,825
7/29/2020,1953.5,1953.5,1952.599976,1953.199951,209835
7/30/2020,1942.300049,1965.099976,1930,1963.400024,28853
7/31/2020,1962.800049,1981.099976,1948,1948.599976,2914
8/3/2020,1966,1984.300049,1955.5,1984.300049,683
8/4/2020,2001.199951,2016.199951,1968.800049,1971,2010
8/5/2020,2031.099976,2050.199951,2011,2024,1422
8/6/2020,2051.5,2063,2040,2045.5,294
8/7/2020,2010.099976,2055,2009.599976,2040.099976,808
8/10/2020,2024.400024,2043.800049,2017.5,2026.400024,233
8/11/2020,1932.599976,2016,1904,2012.400024,971
8/12/2020,1934.900024,1946.599976,1871.599976,1923,404
8/13/2020,1956.699951,1957.400024,1916.900024,1921.5,71
8/14/2020,1937,1947.400024,1937,1938.699951,201
8/17/2020,1985,1985,1949.599976,1949.599976,97
8/18/2020,1999.400024,2002.800049,1972.099976,2001.099976,92
8/19/2020,1958.699951,1980,1938.699951,1980,347
8/20/2020,1933.800049,1948.300049,1922.300049,1941.199951,106
8/21/2020,1934.599976,1945,1908.900024,1941,184
8/24/2020,1927.699951,1940,1922.199951,1930.199951,85
8/25/2020,1911.800049,1928.5,1911.800049,1927.5,176
8/26/2020,1940.699951,1950.800049,1909.699951,1909.699951,287
8/27/2020,1921.599976,1972.5,1921.599976,1948.900024,2303
8/28/2020,1964.599976,1971.300049,1922.5,1927.099976,778
8/31/2020,1967.599976,1971.300049,1953.300049,1970,158
9/1/2020,1968.199951,1986.300049,1961.699951,1961.699951,186
